model,stage,n_folds,threshold,trained_at,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,tn,fp,fn,tp,notes
logreg,cv,5.0,0.5,2026-09-06T06:26:27+00:00,0.9762,0.9768,0.9758,0.976,0.9972,0.9976,0.014,0.029,0.0102,0.0136,0.0017,0.0016,,,,,mean+std over grouped folds (train split only)
logreg,validation,,0.5,2026-09-06T06:26:27+00:00,0.9647,0.9641,0.9651,0.9646,0.9954,0.9958,,,,,,,972.0,36.0,35.0,968.0,"fitted on train, evaluated once on validation (threshold 0.5)"
random_forest,cv,5.0,0.5,2026-09-06T06:26:27+00:00,0.9802,0.9757,0.9862,0.9804,0.9977,0.9977,0.019,0.0392,0.0087,0.0181,0.002,0.0021,,,,,mean+std over grouped folds (train split only)
random_forest,validation,,0.5,2026-09-06T06:26:27+00:00,0.9736,0.9657,0.9821,0.9738,0.996,0.9966,,,,,,,973.0,35.0,18.0,985.0,"fitted on train, evaluated once on validation (threshold 0.5)"
xgboost,cv,5.0,0.5,2026-09-06T06:26:27+00:00,0.9356,0.8887,0.9946,0.9385,0.9944,0.9942,0.0174,0.0287,0.0042,0.0158,0.0042,0.0053,,,,,mean+std over grouped folds (train split only)
xgboost,validation,,0.5,2026-09-06T06:26:27+00:00,0.9269,0.8754,0.995,0.9314,0.9958,0.9962,,,,,,,866.0,142.0,5.0,998.0,"fitted on train, evaluated once on validation (threshold 0.5)"
lightgbm,cv,5.0,0.5,2026-09-06T06:26:27+00:00,0.9323,0.8811,0.997,0.9354,0.9977,0.9979,0.0088,0.0124,0.0044,0.0081,0.0013,0.0012,,,,,mean+std over grouped folds (train split only)
lightgbm,validation,,0.5,2026-09-06T06:26:27+00:00,0.9324,0.8853,0.993,0.9361,0.9945,0.9951,,,,,,,879.0,129.0,7.0,996.0,"fitted on train, evaluated once on validation (threshold 0.5)"
catboost,cv,5.0,0.5,2026-09-06T06:26:27+00:00,0.9653,0.9429,0.9899,0.9657,0.9978,0.9981,0.009,0.0197,0.0071,0.0084,0.0011,0.001,,,,,mean+std over grouped folds (train split only)
catboost,validation,,0.5,2026-09-06T06:26:27+00:00,0.9552,0.9278,0.987,0.9565,0.9954,0.9958,,,,,,,931.0,77.0,13.0,990.0,"fitted on train, evaluated once on validation (threshold 0.5)"
stacking,validation,,0.5,2026-09-06T06:26:27+00:00,0.9736,0.9666,0.9811,0.9738,0.9962,0.9967,,,,,,,974.0,34.0,19.0,984.0,"grouped stacking: meta=logreg on out-of-fold base probabilities; no outer CV (computational cost, documented); threshold 0.5"
